,sentence,label
0,아우 배부르다. 역시 곱창구이는 너랑 먹어야 맛있어. ,1
1,사르코지 61세 밖에 안 댔어??,4
2,됐어. 밥이라도 차려줘야지. 그래야 누나 같지. 나잇값도 못하는데. ,0
3,지금 이 상황에 그게 중요하냐?,0
4,음…!,0
5,영화소개 프로그램에서 나오길래 흥미로워서 보게 됐는데…. 편집을 정말 잘했네. 젠장 낚였어….,3
6,돈독 오른 놈들이 차 많이 팔아주니까 욕심이 끝이 없네….,2
7,세계 제1위 악덕 기업 삼성,3
8,이쯤 되면 어디가 북한이고 과연 북한만 세습하는 건지 헷갈리기 시작했다….,3
9, 안아 양...너무나  기쁘고 축하합니다.,1
10,"이런 자료들은 필요 없을 거 같은데, 버리지. ",0
11,재가 아직 학생인데 엉덩이도 많이 쳐진 거 같고 특히 하체가 많이 통통해요. ㅠㅠ,2
12,알람이든 뭐든 하기로 한 건 지키는 게 프로 아니에요?,0
13,알았어.,0
14,조국 떠나고 싶어 환장한 사람들이 많다 이거야?,4
15,"바람 많이 부니까, 담요 덮어요. ",0
16,아직 미련이 많이 남아서 그래요….,2
17,야! ,4
18,"네? ……뭐, 경험이나 그런 거 아닐까요~ 아니면 내신 같은 거~. 근데 선배, 왠지 선생님 같네요~",4
19,하루하루 죽고 싶은 생각뿐인데 ...,2
20,이건 우리가 할 말 아닌가?,4
21,  아 갑자기 눈물 나네,2
22,우리 세쌍둥이 너무 보고 싶었어~ ㅠㅠ,1
23,왜 또... 위암이 재발하셨나요?,4
24,맛없더라고 앞으로도 계속 도자~~~ㄴ!!,1
25,너 똑똑히 들어. 내 허락 없이 넌 아무 데도 못가!,3
26,우리 학교가 왜 똥통인지 알겠어요. ,0
27,많이 좀 입어 하하 이뻐♡,1
28,21세기 이 땅에서 영양실조로 사람이 죽는 게 말이 될까? 하루에 100만 명이 지나다니는 거리에서 죽은 사람을 이틀 만에 안다는 게 말이 되냐?,2
29,우산 들고 나가 비 안 오면 쪽 팔리니 누가물어보면우산이아니라양산이라전하여라,0
30,깜짝 놀라! 아직 정신 못 차렸네?,4
31,이건 또 뭐야. 엄마. 신경정신과 약도 먹어?,4
32,극의 전개가 너무 느릿하여 답답합니다 배우들의 연기가 무슨 연극을 보는 거 같습니다 연극인지 드라마인지.. .. 시청률 신경을 안 쓰시는 분들 같으나 그래도 어차피 대중을 위해있는 것이라면 대중의 의견에 좀 신경을 쓰는 게 좋을 것같습니다,3
33,쉽고 맛있는 레시피 감사드려요~~~,1
34,불복이면 병원행이 맞다.,3
35,나도 내 맘을 모르겠음.,2
36,자동차 마니아인 나의 평점은 5점 이하~속았다…. 아오~,3
37, 이분은 좋은 학벌 가지신 분이 그런 거 못 봤나 보네 ㅋㅋ,4
38,저는 취미로 요리를 좋아하는 사람인데……. 제가 평소에 원했던 프로그램입니다.,1
39,네 네 해장국이요 해장국.,0
40, 나 입사하니까 오늘 종일 미술학원에서 그림 그리는데 그 날이어서 오늘 진짜 많이 힘들었어….,2
41,우리 남친 어떡하죠. ㅠㅠㅠ,2
42,이전으로 선생님을 만나서 인생이 달라집니다.,1
43,"이놈 계집애, 외박한 거야?",0
44,머리 늘 복잡하고 알긴 하는데 혼자 생각보단 이게 낫겠다 싶어서요,2
45,피 토할 것 같음,2
46,마지막에 너무 멋있다.,1
47,"다…. 다 고마워… 우리 집에 이렇게 와 준 것도 고맙고… 그리고, 우리 식구들한테 상냥하게 잘 대해준 것도 고맙고… 그냥…. 내 앞에 이렇게 나타나 준거…. 그냥 다 고마워!",1
48,다른 나라는?…?,4
49,백 쌤 화이팅 입니다,1
50,가깝긴 하지만 교통이 불편해서 시간이 오래 걸리고 나도 나만의 공간을 가지고 싶단 말이야. 근데 아무리 말씀을 드려도 소용없어.,2
51,뭘 그렇게 많이 샀어요?,4
52,이거 순 깡패들이네. 덜덜덜,3
53,해가 점점 지는 나라.,0
54,우리나라에서도 팔지 사고 싶다 ㅠㅠ,2
55,여군 재미 없음 뭐하는건지…. ㅡㅡ잼없음 엠비시 다 재미 없음 질린다 이제,3
56,어휴……. 이걸 어떻게 받아들여야 할지…….,4
57, 3년 이란 시간이 아깝네요```0,2
58,……이제 어떡할까?,0
59,알았어.,0
60,아…. 사상 최대 이벤트라…. 가보시면 아세요.,0
61,미친 아내와 미친 남편 그리고 미친 소녀,0
62,이거 진땀 흘리는 표시잖아요!,4
63,웬만큼 추접스러웠어야 이름이라도 물어보지. 내가 이래서 시집을 못 간다니까.,2
64,오늘로 차인지 사흘째네요.,2
65, 나도 미치겠어.,2
66,오늘 우리 가족은 온천에 갔어요.,2
67,첨이라고 한 적 없어.,0
68,제 택배가 버뮤다 옥천에 하루쯤 더 머물러도 되니 편안한 마음으로 배송해주세요. 택배기사님,1
69,말 마성의 매력을 가지신 거 같아요!!,1
70,언제나 응원하는 팬이 될게요^^,1
71,"야! 잠깐, 이러니까 내가 되게 이상한 사람인 것 같잖아!",3
72,아... 머리 아파. ,0
73,진심으로 사과 하고 싶었어….,2
74,…웃기지 마. 나 이제 네가 싫어졌거든? 두 번 다시 나와 내 주위 사람들에게 아무 짓도 하지 말아줘.,3
75,애플 사악한 머리 쓰네 또... 으….,3
76,올 한 해 안아 양 덕분에 피겨도 알고 안아 양 연기 보면서 항상 마음이 어려울 때 도움이 됐어요….,1
77,우리 지금 데이트하는 거잖아.,0
78,과외선생이라고? 나이가 어려 보이네? 몇 살이지?,4
79,다들 어떠시나요? ~?,4
80,내일 날씨는 어떻게 되는지….,2
81,류중일 감독님 원합니다,1
82,거참 이거 보는 내내 영화 다시 생각남. 근데 이게 더 어이없는 듯. 제 본마누라 청산가리 먹여 죽인 년보고 순진 한단다 미친 김희정만 불쌍하고 진짜 대학 생년보다 희정이가 훨씬 이쁘다. 여기 출연한 라미란 씨가 아까볼 정도로 전체적 형편없네요,3
83,"의외구나, 그런 취미는 없을 줄 알았어. 넌 그런 화제작 같은 영화는 상업주의네 대중 영합주의네 하면서 처음부터 무시하고 비웃고 공격하는 건 물론이고, 온갖 비판점을 예시해 가면서 희열에 가득 차는 쓰레기 같은 감성의 소유자라고만 생각했는데.",4
84,체력이 뭐? 우리 딸이 어디 가서 체력 빠지는 애야?,3
85, 남자 게스트들 당황하는 거 딱 보이고 완전 성추행인데?,4
86,근데 나는 아니라는 게 참 서글프다.,2
87,계엄령을 선포해서 탱크로 밀어 버리라!,3
88,사실 아버지 입양 동기가 불순하긴 하지만 그래도 우릴 워낙 좋아하시니까 눈감아 드리는 거예요. ,0
89,차오루는 너희 나라 안가냐?,3
90,박보검 사극에 푹 빠진 저하,1
91,삭제할게요,2
92,기부하는 본인이 더 행복하고 마음이 따뜻해진다는 걸~~~^^,1
93,...너 누구랑 한 거야? 남자친구도 없었잖아!,4
94,칭찬이 인색한 남편이 백 선생님 좋으신 분 같다고 하하,1
95,아줌마 혈액형은 또 아빠랑 무슨 상관?,0
96, 그런데 정말 단호하더군요,4
97,아오. 더워. 왜 에어컨 안 켜주냐?,3
98, 갑자기 커다랗고 시커먼 그림자가 뒤에서 스윽….,4
99,이번 일 끝나면 진급하시나?,3
100,이거 최악이네…. ㅋㅋ,3
101,감사드려요,1
102,미안해요,2
103,됐다는 게 그런 뜻이었어요?!,4
104,한 30분 정도 늦을지 모른다고 얘기해.,0
105,쭉쭉 뻗어 나가는구먼 중국,4
106,"콕 쑤시는 듯한 통증도 있고요, 설사할 것 같은 배앓이도 있다 사라지고요….",2
107,네! 꼭 갈게요. 노래 부르시는 모습 정말 너무너무 좋아요. 제가 100인분 팬 할 테니까 절대 그만두면 안돼요!,1
108,중국엔 아무 말 못하고 한심하고 무능한 분인 정부,3
109,유재석 대상 축하드립니다,1
110,2ｍ라니 상상이 안 가네,4
111,서로 그리워하는 뉘앙스에요….,2
112,좋아 아주 좋아 좋아 좋아,1
113,"그거 말고, 밥! 밥 먹고 싶어.",3
114,역시 낭만닥터 김사부 역시 한석규 축하드리고 앞으로도 좋은 연기 보여주세요^^,1
115,비추천,3
116, 제가 우울증 증세하고 조울증 증상이 보여요,2
117,항상 좋은 정보 감사드립니다….,1
118,"그렇긴 한데… 으음, 조금 고민 중이에요.",0
119,크크크 졸 웃긴다 ㅎ 주사 ㅋㅋㅋ,1
120,유재석 대상 수상을 진심으로 축하합니다!!,1
121,OOO 시영화…. 특히 이정우. 고다미. 김푸른 이것들 제일 심하네,3
122,아…. 효진언니... 곧 개봉한다는 영화가 이거였어요?,4
123,네? 여기도요?,0
124,아직 갈 수 없어서 미안해,2
125,쓰레기 영화 ㅡㅡ 배트맨이더잼,3
126,고생 많으셨습니다~~,1
127,아니 웬 술을 이렇게 마셔요. 요새? 네 여보?!!,4
128,인성에 반해 팬이 되었지만 진짜 배울 점도 좋은 점이 끝도 없이 많은 진짜 멋진 오빠~♡♡♡,1
129,여보 집안일 하면서 애 보느라 힘들지?,2
130,여러모로 챙기시느라 수고 많으셨습니다^^,1
131,"어머! 시간이 벌써 이렇게 됐네? 아, 이러다 또 지각하겠네, 또 지각하겠어.",4
132,비참하죠?,2
133, 취업이 너무 어려워서 월세 밀리고 난리가 나네요….,2
134,난 사람들한테 사랑을 그렇게 듬뿍듬뿍 주는데 사람들은 안 그래. 나한테 받은 거에 반의반도 안 돌려줘.  ,2
135,제가 아니라 선생님이 창피하실 것 같아서요. 고등학생을 어린애 취급할 정도면 선생님의 연세가…….,0
136,트럼프 각하 축하드립니다.,1
137,모르긴요. 이웃이잖아요. 옆자리 이웃.  자. ,0
138,그걸 방에서 재고 있었어요?,4
139,들어와서 둘러보길래 잘못한 것도 없는데 찔끔 했네. 크크크,4
140,방에….,2
141,"선생 이미지엔 상관없겠지만, 내 이미지엔 그래.",3
142,"네? 왜요? 안 돼요, 사장님, 아니 아저씨, 어떻게 얻은 직장인데, 절대로 안 돼요, 저 절대 못 그만둬요! 하루 만에 자르다니, ",3
143,본인 연봉을 깎았다는 데에 쇼가 아님을 보여주는 거 같은데요!!,4
144,이게 대체 뭐냐.. 보다가 중지…. 시간아깝다 스으으읍얼,3
145,달리던 중에 전화기 거치대에서 떨어지고 밧데리 없다 하고 갑자기 전화벨 울리면 그게 더 멘붕이다,3
146,천진난만해 보인다 흐흐흐,1
147, 헤어진 여자친구는 2주간 생각과 시간을 달라고 합니다.,2
148,이렇게나 격렬하게 무능한 총장이 대한민국 사람이라는 게 정말로 자랑스럽기 그지없네요.,3
149,니미럴…. 아주 완벽히 개! 쌍! 연을 대통령 자리에 앉혀놨었네,3
150,"자기들끼리 맛난 거 먹고 온다는데도, 어머니. 전 좋아요. 왠지 얘들이 더 친해지는 거 같아서요.",0
151,허허…. 원작가 정신 나간 유령이라... 재미있겠네요!,1
152,김대중 노무현 이 두 놈 때문에 c8,3
153,갑자기 뭔데요?,0
154,10살 어린 나이에 공작대에 입대하셨는데 여기서는 어떤 활동을 하셨어요? ,0
155,역시 연아 누님은 넘사벽이에요.,1
156,이 나이에 무슨 날 잡아 행사하고 그러는 것도 웃기잖아?,0
157,너무 구체적으로 푸는 건 머리 아프네요,2
158,싫다는 나를 집에 억지로 데려왔으니 네가 책임져야지!,3
159,"……괜찮아, 기억 안 나도.",2
160,아….,2
161,순천에 가면 죽을까 봐 못가지?,3
162,시청률 44%는 개뿔;; 존11나 재미없어;; 이제보니 MBC가 사극너무못만드네;;,3
163,모든 국민뿐 아니라 제주 해녀님들에게 좋은 소식이군요. 축하합니다.,1
164,신뢰도도 떨어지구…….,4
165,왜 이런 거야? 어? 그 아가씨 만나고 오는 거 아니야?,4
166,징징대고….,3
167,이 영세자의 눈빛 와 ~진짜 종일 날 슬프게 할 것 같다,2
168,뭐요? ,4
169,우리나라에 게임회사가 있다고? 금시초문인데?,4
170,"제주... 7, 8천원 음식값이 1년 만에 1만 원이 되는 곳. 4년간 살다가 도망 나옴.",4
171,이게 어떻게 무간도 4냐? 무간도 간 봤냐?,3
172,마음을 울린 드라마,1
173,임창정같이 생겼네?,4
174,하! 또 내 잘못이네. 참 잘도 갖다 붙이세요?,3
175,도산 안창호 선생의 숭고한 희생정신 잊지 않겠습니다!,1
176,"경찰이 우스워? 경찰 우습게 여기려면, 법 지키면서 살던가. ",3
177, 그냥 커쇼는 어디서 뛰든 잘던지는 거다.,1
178,아…. 그래요…. 돌려줘야죠. 미안해요. ,0
179,요건 우리 언니 주려고요.,0
180,"아, 미안. 예쁜 여자친구와 데이트 약속이 있어. 그냥 두면 걔가 금세 히스테릭해져서 힘들거든.",0
181,아버지 맥주 드실래요?,0
182,비좁은 성냥갑 속의 콩나물들. 중국 따랄 천천히 기여서 출퇴근 해라.,3
183,진짜 재수 없다 나쁜 년,3
184,웬 열……. 그 유적지가 그곳의 수입원인지도 모르는 것들,4
185,저걸 도로에서 탄다고?,4
186,아주 짜증 나고 열 받네,3
187,일 보고 오다가 차 사고 났어요…. 미안해요….,0
