,sentence,label
0,한국 결선 진출 자의 50 % 이상이 실패했다. ㅠ,2
1,집이 20 만 달러뿐이 안돼?,4
2,청각 여자 친구는 친구에 대한 성 농담을 즉흥적으로했습니다.,4
3,살을 빼기 때문에 학교에 들어가기 전에 살을 빼려고합니다.,2
4,…… 나는 학생 회장에게 나쁜 일을했습니다.,2
5,친구를 사귀지 못하고 여성에게 고백 할 수 없어서 우울합니다. . 0,2
6,반전은 그렇다 치고 영화 전개는 재밌던데?,1
7,나는 당신을 정말 사랑하지만 다시는 만나지 않을 것입니다…,2
8,이분이 여기 댓글 다신 분들의 워너비임?,4
9,역시 실력자들!!!,1
10,난 연애 못할 거야….,2
11,"괜찮아. 젊은 아가씨가 노인을 해칠 수 있도록 포기하기가 어렵습니다. 아, 웃으면 서 너무 예뻐요. 열심히 노력하고 있습니다. 멋진 걸 원하십니까? 이것은 유기농 주스입니다. 맛이 좋을 것입니다.",1
12,그냥... 갈려고요... 부산엔 친척 언니도 있고... 여기 있는 것보다 낫거든요.,2
13,"미안, 살짝 삔 것 같아 만약, 지면, 그 녀석이 곤란하겠지…. 아, 위험한데…. 이대로라면 좀 위험할지도…. 사과를, 미안해, 아, 정말!",2
14,어제 쇼트 프로그램 보고 3위 입상은 가능하겠구나 생각은  했지만-,4
15,어떤 이유로 든 위로를받을 수 없습니다……,4
16,뭐? 메추리 알이에요?,4
17,당신이 알고있는 형제는 너무 재미있다. 알았다!,1
18,기사 내는 거 보아하니 정식발매는 틀렸고 강원도도 곧 막겠네! ㅋ,2
19,우리가 채권을 받았던 날과 3 개월 후 우리가 채권을 찾았을 때 은행 뒷면의 날짜는 동일합니다. 대기 번호와 동일…. 이야기가 거칠고 연기가 거칠다는 것은 말할 것도없고 -.- ;;; 90 년대 영화 수준,3
20,책을 영화로 보지 않는다는 것은 사실입니다. 나는 원래 이야기의 상세한 구성과 설명을 볼 수 없다는 것에 실망했다. 그리고 죽고 싶지 않아? 보트가 왜 소리를 지르지 않았는지 이해할 수 없습니다.,3
21,이런 종류의 지옥을 보면 한국은 길지만 한국에서 태어났다는 것에 감사해야합니다.,1
22,빨리 앉아봐. 진짜 엄청난 일이 있었다니까-,3
23,더 이상 널 쫓지 않을거야 나도 몰라 죄송 해요. 앞으로 우연히 만나지 않겠습니다. 행복하세요,2
24,한효주랑 이종석 궁합도 좋고 무엇보다 연기도 잘함 스토리는 물론이고 음향도 존좋….,1
25,마일리지로는 이딴 식의 영화밖에 못보다? 매달 이렇노!!!,3
26,관리인들에게 정말 감사합니다…,1
27,나는 오바마 대통령이있는 나라를 부러워합니다.,2
28,"Ka, trilobites 사과 맹인들에게 맹세 할 수 없어",1
29,잘 아네 전업주부가 최고가 놀고먹고 애 유치원 가면 그야말로 지상낙원,2
30,일은 해야 하는데 출퇴근이 힘들어서….,2
31,이거 순 깡패들이네. 덜덜덜,3
32, 그동안 ? 아니었냐고?,4
33,"나는 1을보고 있지만 내 인생을 살고 있습니다. 지루하고, 이야기가 펼쳐지고, 과거를 떠올리게하는, 눈물을 흘리는 장면 및 느린 드라마가 가장 먼저 보입니다. 편집자들은 그의 드라마를 봅니다. 지루했는지 모르겠어요",3
34,라이브 듣고 완전 소름. 유스케 기대된다!!!,1
35,ㅋㅋㅋ 도대체 뭔 집단인지 컨셉을 모르겠네,4
36,와우 ... 박하는 훌륭합니다,1
37, 주인공들이 다 든 연기파라 그런지,4
38,진심이 느껴지네요.,1
39,처음에는 정말 놀랐어요,4
40,타지 맙시다... 넘 슬퍼요... 얼마나 힘들었을까? 미안해.. ㅠㅠ,2
41,사실이라면 당신은 진정 이 시대에 악마입니다,3
42,마케팅 담당자에게 늦었습니까? 그의 부서에서 그 중 다른 부서 직원은 데이트하기 전에도 예쁜 사람과 창피하다고 느꼈습니다… 그게 뭐야?,3
43,Embassy Cavi의 보수적 인 사용입니다.,3
44,사람들이 겪었다는 말은 없습니다…,2
45,"그때, 생각하면 지금도 정신이 아찔하다. 너희 아빤 죽었지, 넌 행방불명됐지... 아마 너라도 못 찾았으면 울화병으로 죽어도 골백번 죽었지….",2
46,어디 감히 기업이 국가법을 바꾸려 함???,4
47,나 가상현실이 사성 해봤는데 헉 그냥 애들 장남검수준 별로 몰입도 안 되고 속았단 느낌 들더라고,3
48,그들을 어찌 해야 할지. ㅡㅡ,3
49,싫어요. 천천히 가는 건 천천히 가는 거고 팔짱은 끼고 싶어서 끼는 거니까요.,1
50,잠깐만! 어디 가니?,4
51,세상의 암캐가 뭔지 알아? 취한 여자 버릇 된 자식,3
52,왜 이러니?,4
53,어떻게 생긴 걸까 저분들의 공통점이 있나???,4
54,"우선, 시간 낭비라고 생각할 수도 있습니다. 나는 득점하고 싶지 않다",3
55,평가가 재미 있다고 생각하지 마십시오,1
56,글씨 봐라….,4
57,안마방 간 게 사실인데 기자위협도 하고 소설 아니고 팩트면서 피해자 코스프레 덜덜,4
58,백 씨의 LA 방문은 나의 눈물이었다.,1
59,나는 그들의 나라가 위험에 처해 있음을 알리기 위해 올림픽에 기꺼이 참여할 의지를 매우 존중합니다. 전 세계에 퍼져 있기를 바랍니다.,1
60,외국에는 점이 매력으로 보이기도 해서 문신을 하거나 그리고 다닐 정도?,4
61,호감을 느끼고 만나다가 깨졌는데 갑자기 연락 왔어,4
62,예쁘긴 한데 지루하고 재미없어요.,3
63,수업에 다시 가지 않으면이 학교에갑니다. 내가 당신을 때릴 것입니다.,2
64,# 4. 축하합니다 ~,1
65,김경숙 끝이 보이네!,1
66,결국 우리는 기대를 잃지 않습니다.,1
67,코레일은 파업하다가 망해라,3
68,흑흑 수고들 하셨습니다. 감사합니다ㅠㅠ,1
69,자동차가 손상되지 않았거나 문제가 있는지 먼저 확인하는 것이 좋지 않습니까?,3
70,손님도 없는 가게 지키느라 동참도 못했는데 다음 주에는 저도 가겠습니다,2
71,오~~~ 요런 시나리오???,4
72,내 주변 사람들은 미쳤다고 했어,2
73,그러면 내가 매일매일 지키고 있으면 되지.,2
74,정명훈을 비롯한 이 쓰레기 같은 진실에 가담한 모두를 구속해야 한다.,3
75,최악입니다. 나는 영화에 지루하지만 지루해,3
76,40대 아줌마들 ㅋㅋ수준알만하다 ㅉㅉ,3
77,어떻게 된 거예요? 당신이 나를 아프게했다면 당신은 잘 살았을 것입니다. 왜 이런 식으로 살아?!,3
78,어떤 사람들은 가족이 없어도 전화를 걸고 결혼합니다,4
79,나쁜 대통령이야 .,3
80,새로운 개발을 소홀히하는 가장 큰 죄,3
81,하… 그때 갚지 않는 것이 좋았습니다.,3
82,그러나 당신의 언니는 자연스럽게 지망자입니까?,4
83,전쟁 이후의 아픔을 잘 그린 영화 마지막 장면이 압권 유대인 줄 알아 더럽게 여기나 도움이 필요하니 동행했던 토마스에게 더러운 유대인이라고 말한 장면 그러나 유대인인척한 사실 유대인 가족사진을 보면서 미묘한 감정들을 사슴 인형을 밟아 까며 대변한다므찐영화^^,1
84,이것은 국가 파멸이 아닙니다,2
85,나는 울고 부끄러워서 질문을한다.,2
86,데이트 할 때 연락을 했어요,2
87,같은 건물에있는 다른 회사 여성에게 연락을했습니다.,2
88,Is야 나대지 말고 그냥 내버려 둬라,3
89,"29일, 30일 아니면 31일이 1개월인데 4월 마지막 금요일이 되었네요",2
90,그나저나 자매인데도 전혀 딴판이네요.,4
91,전화를 끊으면 너무 화가납니다. ㅠㅠㅠ,2
92,그 마음은 ... 이해합니다.,2
93,현재 2013…. 환 태평양 지역. 슈퍼맨 배트맨. 복수 자… 컴퓨터 그래픽의 정점을 보여주는이 시점에서 컴퓨터 그래픽은 0입니다. … 믿을 수없는…… 나는 마스크를 쓰고 나왔다.… 나는 당신이 놀고 있다고 생각했다. 1980 년대의 영화와는 다릅니다. 돈 낭비이므로 무료로 사용해보십시오.,3
94, 예전처럼 편하고 좋았습니다^^,1
95,여기서 운동만 한다고 살이 막 빠지진 않을 거예요.,2
96,대규모 기업 준비금 및 100 % 해결.>,1
97,존나 소름 돋네 와,4
