,label,sentence
0,1, 그냥 고마워요
1,1, 진도 사랑스럽습니다
2,1,음식 재료에 대한 우수한 지식. .
3,1,박재범 멋지다
4,1,"기아가 내년에 우승하겠군요, 축하합니다."
5,1,대만경제 계속 침체인데 섬 짱깨에 독립할 명분도 없음. 크크크
6,1,"그러나 사람들이 경솔하고 잘못 해석했다고 생각 했습니까? 아직도, 당신과 함께하기가 어렵습니다 ~"
7,1,감사합니다 감사합니다…
8,1,나는 뚱뚱했지만 그냥 감사하고 싶었다 ~
9,1,축하합니다 ~ 너희들이 예쁘고 좋은 열매를 보길 바랍니다. ^^ 당신은 정말 좋아 보인다 ~
10,1,오랜만이네. 크크크
11,1,아니 뭐 한두 번도 아니고 그냥 최고라는 이미지 그 자체 아닌가?
12,1,홍콩 영화도. 만족합니다.
13,1,Mayfly Fall Baseball ... 수명 연장 !!! 감사합니다. 쿠지 오지 사토
14,1,"확실합니까? 여름에 해변에 가지 않은 사람 ...하지만 준비해야 할 것이 많습니다. 아! 딸에게 피아노를 사야 해요. 아니, 나랑 같이 먹을 돈 없어 제 친구의 동생이 한약을 사용하고 있기 때문에 조금 더 싸게 사면 조금 여유가 있습니다. ."
15,1,열심히 일하는 것이 반가워요!
16,1,저의 무료 인색 한 남편은 훌륭한 선생님과 같습니다.
17,1, 딱히 팬도 아니고 좋아했던 사람도 아니지만 용서라는 프로그램 봤을 때 진심이 느껴졌고 어머님께 잘하시길 바랍니다
18,1," 수비도 잘하지만, 공격 재능이 뛰어난 알고명 닮은 선수다."
19,1,^^ 응원 할게요. 더이기세요!
20,1, 현역으로 가서 안 까이길 기대했는데 너무 좋은 소식이네요.^^
21,1,선생님 덕분에 발굴에 감사드립니다.
22,1,와 그래도 스케일 크네….
23,1,오우 예 괄약근!!
24,1,팁형은 진짜메이저도씹어먹는구아
25,1,진짜 기대를 안 했는데 생각보다 너무 좋았다 ㅠㅠㅠ
26,1,백 주부님 정말 감사합니다^^
27,1,나는 군인이지만 내 편지가 울린다
28,1,조정석!! 역시 짱짱!!
29,1,아는 형님 진짜 개재 믿음 ㅋㅋ
30,1,나는 오늘 너무 침착하고 너무 아름다워
31,1,복수에 대한 클리블랜드의 정의
32,1,노승일 한국은 당신 때문에 살아 있습니다
33,1,아이들도 좋아할 것 같아요.
34,1,으하하 하하~ 속이 후련하다.
35,1,노력이 부족해서 그렇다 노력만 하면 한국군도 미군보다 강해질 수 있다
36,1,반갑습니다. 정준영 ~
37,1,펀딩하면 돈 많이 모이겠다.
38,1,다행이다. 좋은 시간 보내길 바래
39,1,예전처럼 편안하고 좋았습니다 ^^
40,1,2002년 월드컵 때 보다 2배 넘게 모였다
41,1,쉽게 설명해 주셔서 감사합니다
42,1,祝 結婚……. 幸福하시길….
43,1,올바른 판단….
44,1,숙모 가방도 좋습니다. 당신은 패셔니 스타입니다.
45,1,이 등급이 너무 낮습니다
46,1,이것은 처음부터 끝까지 예뻤습니다 ....하지만 드라마의 한 지점
47,1,내 친구들 다 지금까지 이 냄새 맡은 거야??
48,1,미치도록.. 고맙다. 다 네 덕분이야….
49,1,이니스프리 미스트 중 하나를 추천 해 주시면 감사하겠습니다
50,1,"기쁨, 슬픔, 삶과 죽음. 이 영화는 인류 역사에서 하나님의 우주 섭리를 보여줍니다. 특히 어머니를 연기 한 여배우의 여성 스러움과 부드러움이 인상적입니다. 당신이 당신의 삶에서 그렇게 살고 있다면. 시각 예술입니다!"
51,1,모두 열심히 일했고 그들은 굉장해 보였다.
52,1,용기가 대단하십니다~엄지 척~!!
53,1,항상 머리에 음식을 요리하는 주부 감사합니다.
54,1,어쩜 말도 예쁘게 해 ㅠㅠㅠ
55,1,나는 무한 도전의 팬이었다 ~
56,1,피곤해서 W로 바꿨어
57,1,와!! 예쁜!!
58,1,축하해요♥♥♥♥♥♥
59,1,맹수도 리그 수준에 맞게 뛰었음 제자리를 찾아 기쁩니다
60,1,그럼 안녕히 계세요^^
61,1,한잔하겠습니다.
62,1,베이스 음색. ㅠ ㅠㅠㅠ
63,1,고맙습니다. 고맙습니다.
64,1,너무나 친절하게 사진을 찍어준 오빠에게 정말 감사드립니다
65,1,"헌재, 홧팅!!"
66,1,완전 감동적이네~!
67,1,어제 홈런은 정말 멋졌는데….
68,1, 특검팀 힘내세요!!!
69,1,백종원 레시피가 너무 좋아 누구나 쉽게 따라갈 수 있습니다.
70,1, 늘 응원합니다.
71,1,내 얼굴보다 수천 배나 더 아름답다. . ㄹ ㅇ 흰색 피부에 좋다. ㅠㅠㅠ. 너무 예쁜
72,1,듀옹 파이팅!
73,1,다른 고객에게 제공하지 마십시오. .
74,1,우리 처음 데이트한 것처럼 영화 볼까?
75,1,니퍼 선수! 내년에 좋은 피치를주세요!
76,1,갑돌이랑 갑순이 덕에 너무 재미있었음 
77,1,좋아 보인다 ♥
78,1,당신을 웃게 만드는 영화. .
79,1,너무 뜨거워 보였습니다. 당신은 고통을 받았습니다!
80,1,덕분에 요리가 즐거워요~
81,1,나는 당신을 기억할 것입니다
82,1,최악의 상황에서는이 만화를 만든 사람들에게 경의를 표합니다.
83,1,감사. ㅠㅠ
84,1,물론 그는 유진의 팬이기도합니다.
85,1,어떻게 일관성이 있습니까? 30 년 넘게 당신과 결혼했다고 믿을 수 없습니다.
86,1,Duterte의 형제는 훌륭합니다!
87,1,그래. 안 깨지는 거로 사자. 절대로 안 깨지는 거로.
88,1,아주 재밌음 영화 추억이다. ㅜㅜ
89,1,영화는 사람들의 영혼을 만질 수 있습니다. 거친 세상을 잠시 잊고 영화에 만족했습니다.
90,1,이런 영화 다시는 안 나오겠지…. 그때 시절을 잘 나타내주었던 거 같아요 하하
91,1,저도 재현 오빠 아주 좋아 해여 ^^---------------------
92,1,꼴좋다 크크크
93,1,오 재미있어 보인다 ㅠㅠ 0
94,1,올해도 LG를 잘하고 내년을 기대합니다.
95,1, 쉽고 따라 하면 맛이 보장되는 요리 계속 가르쳐주세요.
96,1,힘내라 ~ 어릴 때부터 팬이야 !!!
97,1,"고마워, 다혜 ㅠㅠㅠ"
98,1,"아, 그거. 나 거기서 되게 좋았다."
99,1,평행세계에선 이미 한화가 정규시즌 우승이라구!!!
100,1,is의 씨가 마르는 일이 얼마 남지 않았네….
101,1,잘 했어
102,1,가서 ? 가자
103,1,당신은 나에게 너무 부드럽습니다. 와우 ~ 소름 ~. 자신만큼 부드러워지는 것이 좋을 것입니다.
104,1,진심으로 축하드립니다.???
105,1,솔직히 안 오니까 좋기만 하다.
106,1,엄청 예전에 본 영화인데 아직 잊지 못하는 수작!!!
107,1,오빠 ~! 베스트!
108,1,유재석 오라버니 하늘이 파랗게 있으니 날씨가 좋더라고요
109,1,그러나 현실은 개에 대한 지질학 자의 사랑입니다
110,1,가수 1 위!
111,1,저는 Al Bach이고 삼촌이 청구서를 지불하려고하는데 꽤 예쁩니다.
112,1,미국을 파괴하려는 이민자보다 35 % 더 큼
113,1,그러나 아나운서의 아들과 딸에게 축하드립니다 ~~~ ♡
114,1,연아의 누이는 고가입니다.
115,1,이승엽 선수 2년만 더 뛰어주세요
116,1, 깜깜한 암흑의 공간인 줄 알았는데 빛나는 수많은 별이 반짝거리고 있더라고요.
117,1, 골 진짜 멋있게 들어갔다.
118,1,이런 게 국위 선양이지 멋지다
119,1,또한 무술
120,1,매우 재밌다
121,1,기분 좋은 맘으로 요리를 하면 맛도 업!
122,1,역시 '그것이 알고 싶다' 진행할 인물이다.♡♡
123,1,어제 페이스 북으로 언니에 합류했고 매일 라디오를 듣고 기뻐요.
124,1,우리 오지환 Wang Jihwan God Jihwan is love ♥? 문천 멀티 홈런은 시원했습니다 ^^
125,1,물론 재미있을 것 같아요.
126,1,Hyungdon oppa ~~ 내가 놀러 간지 오래되었습니다. . ㅋ
127,1,Lee 씨는 더 많은 의견을 얻기 위해 댓글을 달고 계속 게시합니다.
128,1,어제 분명히 이제 우리 금 토·일 못 보니깐 축구 안 하고 너만 봐야겠다 하하
129,1,감사합니다! … … 그래서 당신은 어떻게 생각하십니까?
130,1,다시 쌤 싸움
131,1,따뜻하고 행복한 콘서트였습니다!! 또 보자. 자주 만나요!
132,1,잘됐네. 그럼 이번에 해보면 되잖아.
133,1,커 지렸다 지렸다
134,1,"그러나 내가 남자 친구에게 잃어 버렸다고 말했을 때, 나는 내 말을 잃어 버렸다."
135,1, 저희 캐럿이랑 세븐틴 가능한 평생 같이해요!!!
136,1, 소소한 재미가 피곤함을 풀어줌 경보면 웃김
137,1,항상 좋다
138,1,역시 교황님은 다르네…….
139,1,김세정은 솔로가 더 어울린다. 매력적인 감성 보컬 김세정~~
140,1,무한한 도니 만… !!
141,1,나는 하하를 환영합니다
142,1,45 년간의 연구.
143,1,"알았어, 알았다고. 놀러 갈 약속이 잡혀 있는데 당연히 열심히 하지 뭐."
144,1,특별한 사람인 박영수는 매우 신뢰할 만하다.
145,1, 항상 지켜보고 있는 사람(?) 이로써 느끼는 게 있어요
146,1,다행이다. 또 충돌 일어날까 봐 10일부터 끌고 왔는데 못 들어오게 하면 더 열 받아서 뭔 일 나는데 법원 잘했네…. 잘했어. 아저씨들 고생하셨어요. 다치지 마세요.
147,1, 당신은 구단 선정한 선수이기보다 팬들이 선정한 미스터 엘지입니다…….
148,1,글~구 생일 축하 해요~~~^^
149,1,"19대 대통령은 문재인이 당선된다. 1,000,000%!!!"
150,1,부모님을 어느 정도라도 이해하고 존중하는 마음을 가질 수 있다는 것 자체가 큰 행운입니다.
151,1,판형 헤자 계약 인정합니다
152,1,예 ~ 다른 기념품을 잘 부탁드립니다 ~
153,1,너무도 이쁘고 멋진 미소이심
154,1,김연아는 항상 아름답고 더욱 인상적인 공연을 제공합니다. .
155,1,감동이었다….
156,1, 감사합니다???
157,1,영화제를 위해 힘쓰신 모든 분께 감사드립니다 :)
158,1,날 사랑해줘서 고마웠어.
159,1,특검이 틀리지 않았다는 거 국민들은 압니다. ㅠㅠ 힘내세요!
160,1,"오늘의 암탉 ""~~~"
161,1,그런가요... 감…. 사합니다.
162,1,한국암자들이여 자신을 좋아할 만큼 능력이 아닌 매력과 인간으로서의 냄새를 내뿜어라. 하지만 한국에선 불가능 조용한 분위기에서 터지는 관계 장면과 특히나 코미디는 정말로 재미있다.
163,1,맛있는 것을 만들 수 있다는 자신감을 얻게 해주어 감사합니다.
164,1,와우 멋지다
165,1,"예, 물론입니다! 내가 올 것이다!"
166,1,기대됩니다~!!!
167,1,조종석 !! 아무튼!
168,1,생각할 줄 아는 청년일세/
169,1,나는 여전히 ~~~
170,1,이 라인에서
171,1, 저 학생이 자랑스럽네
172,1,"어머, 의외네. 그럼, 잘해 봐!"
173,1,오랜만에 훈훈한 뉴스네요~
174,1,좋은 일을하는 것이 좋지만 걱정이됩니다. 당신의 가족은 죽습니까? . TT
175,1,"그리고 지난 주말, 무술과 달리는 사람을 본 후, 무술은 음악을 만드는 법을 보여 주었고 달리는 사람은 카리스마를 보여주었습니다."
176,1,피겨를 그렇게 잘하시는데도….
177,1,잘 준비하고 좋은 멤버들과 데뷔하기를 바랍니다. 치어 리더!
178,1,"내가받은 요청은 절반 만 끝났습니다. 내가 이길거야, 반드시 이길거야!"
179,1,남녀평등이 여기서 나오는구나~~~
180,1,드라마 기대돼요. 화이팅~!
181,1,결국 그것은 Chenglong입니다
182,1,방송은 12월에 나온다고 하네요
183,1,진짜 테임즈 팔뚝을 비롯한 몸은 대박임
184,1,내 가수가되어 주셔서 감사합니다 !!
185,1,부상이없는 유나의 모습은 이제 그림의 역사에서 완벽하게 결합 된 아름다운 예술과 기술의 독특한 기록으로 존재한다.
186,1,멋있는. 시민은 더 이상 개가 아닙니다.
187,1,끝에 너무 시원합니다.
188,1,나는 아직 초보자이지만 백 주부를 본다면 쉽게 나와 같은 학생들을보고 따라갈 수 있습니다.
189,1,퍼거슨은 전설의 역할을 맡은 것 같습니다!
190,1,건강한 하루요~~~
191,1,유나에게는 그런 재능이 있다고 감사합니다.
192,1,괜찮은 영화….
193,1,서인 국은 잘 행동하고 가장 잘 표현합니다. 남지현과 오랫동안 행복해
194,1,"좋다마다요. 벌써 곱게 자라서 그런지 얼굴에 귀티가 흐르잖아요. 똑똑해 보이고, 그 웃을 때 보세요. 얼마나 상냥해 보여요?"
195,1,삼성의 감독이 되는 그날까지 형님을 응원하겠습니다!!!
196,1,중국은 이렇게 숨은 인재들이 많구먼
197,1,근데 매년 꼴찌 하다가 이 정도 하는 것도 개과천선이지
198,1,따뜻한 인간의 의료 ~
199,1,아낀다 때부터 붐 붐 때까지 나도 그렇고 너 너도 그렇고 정말 열심히 달려왔던 것처럼 앞으로도 같이 열심히 달려보자
200,1,아기들 다행이다 ㅠㅠ
201,1,Sonna는 그녀가 처음 나타 났을 때 너무 예뻤습니다
202,1,좋은 직업 스페셜!
203,1, 감사~~
204,1,아주 재미있어요. 애들도보기에알맞는듯
205,1, 두 분의 사랑이 너무 보기 좋네요~~~^^
206,1,어제는 아무것도 재미 있지 않았다 ~ LOL
207,1,메시는 그다지 재미없을 거 같고... 그냥 섭외한다면 섭외능력에 감탄할 뿐 솔직히 재미는 없을 거 같다.. 족구하고 물 공 헤딩하고 그런 거 하고 끝나겠지.. 오히려 베어 그릴스랑 메기 잡기는 꿀로 만든 잼 일 거 같다 크크크
208,1,내 자리는 항상 야구장 근처의 내야석 앞쪽에 있습니다.
209,1, 오늘은 해피투게더 촬영 날이자 무도하는 날!!
210,1,역시 우리 형 2골 넣으니까 호우주의보 호우~!
211,1,등급은 훌륭했습니다.
212,1,세 번째 단계에서 벗어날 것입니까? 아직 해결되지 않은 많은 이야기가 있습니다. 모든 싸움 후….
213,1, 찬스 메이커 지연이 병규라면 역시 해결사는 용빈이가
214,1," 항상 고맙고, 사랑해요"
215,1,당연하지 그때가 엄마랑 나랑 전성기였는데.
216,1,정말 예쁘다
217,1,리얼 기대 기대 믿고 봅니다 ♡
218,1,"그것도 좋았고, 새벽 일도 좋았어."
219,1,태극기 물결이 감격입니다.
220,1,역시 알레그리는 명장이다.
221,1,당신의 생일을 축하합니다.
222,1,백 주부 미소는 매우 매력적입니다.
223,1,쓰레기형 정말 축하드립니다. ㅎㅎ
224,1,실제 영화 게임 ~~ !!!
225,1,진정 연출력에 박수를 보냅니다!
226,1,북한놈들 때문에 보초 서고 있는 군인들한테 고맙다.
227,1,미래의 주니어를위한 상담을 듣고 싶습니까? 휴가 중이라도 자원 봉사 활동을 계속하는 것이 좋습니다.
228,1,알고 보면 정말 훈남
229,1,근데 그거 아니면 너무 좋아요
230,1,좋은 관계를 유지하십시오. 결혼하는 것이 좋습니다… ^^
231,1,왕성한 만남… 마음 흐뭇한
232,1,정말 오랜만에 연아 선수의 아름다운 연기를 볼 수 있게 되어서 정말 기뻤어요.
233,1,V20 높이 2m도 견딜 수 없습니다
234,1,김신욱은 이렇게 활용하야지ㅅㅅㅅㅅ갓신욱
235,1,특별한 감사합니다 !!!
236,1,힘내. 김승호 선수
237,1,이종석의 인형처럼 너무 잘 생겼다
238,1,"스타워즈 1편과 맞아떨어지도록 잘 만든 영화 최고의 에피소드 다스베이더의 탄생과 루크, 레이어의 운명을 알 수 있는 레전드"
239,1,앞으로도 10년은 유재석 천하 일듯싶다.
240,1,헐…. 설마 우리나라에서 멘 부커상 수상자가 나올 줄이야……. 정말놀랍다. 근대 나 멘 부커상을 오늘 처음 알음
241,1,맛있겠다. ㅜㅜ
242,1,어떻게 이런 상상이 대단하다.
243,1,꽤 많이 크네 하하
244,1,돌아와 주셔서 감사합니다.
245,1,요즘에는 100 명의 주부 덕분에 항상 반찬을 걱정하지 않고 노력합니다.
246,1,괜찮아. 당신은 소송을 중단했습니다. 어 Where 어? 좋은!! 느낌! 점심 먹으러 가자!
247,1,빅뱅 멤버 일뿐입니다. 뻐꾸기
248,1,백의 요리를 보면서 자신감과 관심을 가져 주셔서 감사합니다.
249,1,"패션 모델입니다… 어쨌든, 나는 당신을 지원합니다!"
250,1,우리도 이거 하나 살 걸 그랬나.
251,1,쉬운 설명과 편안함으로 너무 매력적인 백 주부 ^^
252,1, 브라가 다 비쳐서 흥분할까 봐 계속 땅만 봤음. 크크
253,1,일반인은 특별한 경우가 잘못되었음을 알고 있습니다. 힘내!
254,1,어제 경기에서 지현 오빠 첫 타석 홈럼….
255,1,괜찮아요.하지만 괴물의 행동은 너무 좋아요 ~~~
256,1,나도 한 쌍의 얼굴이 있습니다.
257,1,감격했음요
258,1,기술자분들 감사합니다
259,1,오랜만이야
260,1,페미 이야기만 꺼내면 알아서 루저남들 거르진~^^ 편하다~
261,1,"잘 되셔서 삼성, 앨지 견제할 수 있는 능력자로 거듭나시길 바랍니다."
262,1,이런 모임에 정말 감사합니다
263,1,쉽게 따라 할 수있는 요리를 부탁합니다.
264,1,Ballard는 Jin-sub와 그의 형을 들었습니다.
265,1,당신이 나에게 돌아 왔기 때문에 돌아 왔어요
266,1,지나가는 것은 정말 좋은 사람입니다…
