,label,sentence
0,0,아버지처럼!
1,0,"잘 먹어요, 걱정하지 마세요."
2,0,엠티는 무슨... 노친네들하고 무슨 재미로 노냐?
3,0,바지 봐. 바지!
4,0,"몰랐으니까. 청첩장 돌리기 전까진 아무한테도 얘기 안 했어. 좀 그렇잖아, 약혼했다 파혼했다 또 결혼한다 그러면 다들 말도 많을 테고."
5,0,해.
6,0,네 뜻대로 해.
7,0,자네가 나를 오늘 못 봤다면 나는 큰일 날 뻔했네. 고맙네.
8,0,"아니, 한 며칠 나오더니 사흘 전부턴가 감감무소식이야, 왜?"
9,0,이 자식이 한국군 무시하네. 나 살찐 거 안 보여? 미군 부대보다 음식은 훨씬 좋아 인마. 근데 피자는 안 줘.
10,0,주말까지 뭔가를 찾고 싶습니다. 언제 일어날까요?
11,0,이거 언제 보여요? 나는 항상 최고의 모델입니다.
12,0,이. 당신을 데려.
13,0,형…….
14,0,연기만 보실 분 추천 나머진 비추…….
15,0,틀리진 않잖아?
16,0,나도 몰라. 나는 약을 보러 가야한다.
17,0,너 정말 애 낳을 거야? 자신 있어?
18,0,괜찮아. 네가 뭘했는지 말하지 않았지만 바쁘다
19,0,왜? 나는 늙었다.
20,0,왜 ~ 당신의 취미는 얼마나 중요합니까? 공부에는 한계가 있습니다.
21,0,싸우고 싶니?
22,0,응. 그리고 아파.
23,0,제자리에 있는 것 같다.
24,0,맨날 내가 샀었잖아. 오늘은 네가 좀 사. 
25,0,그것이 처음인지 모르겠습니다….
26,0,내가 선택한 색이 아닙니다. 주문을 다시 확인할 수 있습니까?
27,0,다음부턴 그냥 한국에서 해요
28,0,또 해코지 하려 그러나..? 휴가 갔다. 그래서 안심하고 있었는데….
29,0,나는 친구에게서 빌렸으므로 오늘 저녁까지 돌려 주어야한다. …
30,0,딸이 있습니다. 이것은 아무것도 아프지 않지만 웅크 리고 있습니다.
31,0,"처음엔 그렇게 안 봤는데, 자꾸 보니깐 여자 되게 많게 생겼어요. 솔직히.. 저한테 너무 잘해주셔서.. 오해하는 게 아닐까 하고…."
32,0,너 혹시.. 작가 그 친구랑 무슨 사이냐?
33,0,"사람이 된다고 당신을 좋아해 줄 거라 기대하는 건가요? 당신, 뭘 보고요?"
34,0,아니. 아이들이 떠나는 수업은 올바른 교육 방법이 아닙니다.
35,0,"조금 어려울 거 같아. 입원도 연장됐고, 친구가 운동부 활동 때문에 너무 바빠."
36,0,어쨌든 약속대로 반값으로. 괜찮아?
37,0,맞습니다. 그러나… 같은 경우 두 자녀가 있습니다. 중요한 것은 외모가 아니라 자녀를 자기 자녀처럼 키우는 어머니입니다. .
38,0,배터리 제조사에 책임 전가.
39,0,진짜 나 그것 때문에 온 거 아니라고…
40,0,말만 정식으로 그런다. 그럼 정식인가…. 배꼽인사정도는 해야 할 거 같은데….
41,0,대부분 옷을 벗거나 머리를 빗거나 모자를 벗을 때 발생하는 정전기는 기분이 나빠질 수 있습니다.
42,0,글쎄요…… 배가 고파서 뭔가 먹고 싶어요.
43,0,"글쎄, 왜 지금 거기서 자르고 있습니까?"
44,0,이 결혼을하지 말자
45,0,그때 어떤 음악을 좋아하세요?
46,0,"나, 네 형수한테 들키면... 바로 향 꽂고 절 받아야 한다. 엉?"
47,0,그곳에.
48,0,나도 알지. 이사 힘이 크다는 거. 왜 내가 모르는 거 같나?
49,0,네. 그러셨겠죠….
50,0,"이번 동아리 축제에 노래자랑 대회가 있는데, 상품을 아주 많이 준대."
51,0,쯧쯧.
52,0,그건….
53,0,와~! 공부 많이 했네? 놔 봐. 놔 봐. 나도 연습한 거 보여줄게. 잘 봐.
54,0,당신도 탐내 셨습니다. 알고있다?
55,0,사진만 보면 맞선 느낌이네
56,0,그냥 그런 미국식 야한 블랙코미디.
57,0,"그러나 솔직히 말해서, 내가 할 수있는 단 하나의 요리가 있습니다."
58,0,그것이 남아 있다는 것을 의미합니까?
59,0,엄마 나가면 편의점 가서 나 컵라면 하나 사다 주어라. 시험공부 하는데 밤에 배고플 거 같아.
60,0,제가요?
61,0,…… 그로 인해 나를 걱정하십니까? 학교에 남자를 두는 것이 귀찮습니까?
62,0,기숙사 사무실이 있습니까? 다음 학기의 신청 기간은 언제입니까?
63,0,그렇죠. 전 이런 건…. 아주 딱….
64,0,예. 하지만 이모와 오빠는 화장실에 가지 않아 질문이 있습니다.
65,0,그것까지는 정신이 없어서….
66,0,나만의 철학 만들기
67,0,감사하려면 팀장한테나 해요. 
68,0,뭐? 동화? 하하하 아이고 배야. 어이가 없어서…. 동화를? 네가? 
69,0,스트레스 해소 되라고요. 울적하고 답답한 맘을 이기는 데는 찐빵 반죽만 한 게 없거든요. 
70,0,엄마가 조용히 나갔다 돌아 올게요
71,0,"나중에 하자, 나 지금 늦었다고, 지각한다고. 응?"
72,0,그렇기 때문에 다시 아프지 않습니다.
73,0,왜 포기를 해? 그냥 그런 식으로는 안될 거 같아.
74,0,"물론이기지. 그렇다기보다, 달라진 후보다는 입후보가 불가능해져. 추천인으로 이름이 올라간 이상, 다른 사람의 추천인이 되지는 않을 거니까."
75,0,사람들이 주는 음식 안 먹어서
76,0,"이거 전부 네 아이디어 아니지? 이미지 분석이 너무 완벽해, 이사님이 도와줬지?"
77,0,비켜요. 
78,0,그런 의미는 아닙니다. 왜 안아?
79,0,짜릿하죠. 아! 하고 싶다.
80,0,아버지의 새와 새는 무엇입니까?
81,0,나는 서울에서 몇 번 당신을 보았다… 오늘 읽고있는 것 같은 느낌이 듭니다.
82,0,"예, 부탁합니다. 당신은 그것으로 무엇을 해야할지 알고 있습니까?"
83,0,"이봐, 생각보다 너무 멋지다."
84,0,"대통령 님, 저는 당신이 지혜롭고 사려 깊다는 것을 알고 있습니다."
85,0,그… 밤이 깊지 만 내일 아침에가요 하루 동안 ll겠습니다.
86,0,둘 다 벗겨봐!!
87,0,"고시원에 부엌도 있다고... 좋아하시더라. 손주 놈 도시락은 싸 줄 수 있다고. 이제, 할머님이 고시원 좁아터진 부엌에서 싸 주신 도시락 들고... 돈 벌러 다니겠구나. 학교도 때려치우고. 아무런 목표도 없이!"
88,0,그래서.
89,0,연극 학부를 쉽게 쓸 수있는 당신을 정말 존경합니다.
90,0,그런데요…….
91,0,언제 나타날지 모르겠습니다. 당신은 항상 했어요. 매일 아침 술에 취해… 아 ~ 담배 냄새가 완전히 내 방에서 아직도 당신을 찾고 있습니다. 포기 중지
92,0,내년 대통령 선거에서 무능한 정부를 판단하고 국민의 연합 된 힘을 보여 드리겠습니다. .
93,0,"아니, 아니. 남자입니다. 대학생이나 대학원생처럼."
94,0,고정 손님?
95,0,"야, 너 내 말 안 들려? 일 접고 지금 나랑 나가자니까 얘가 왜 이렇게 말을 안 들어!"
96,0,함께 차를 마신 지 오래되었습니다.
97,0,나는 치고 싶지 않다.
98,0,사장님. 엠티 가요. 엠티~ 엠티~
99,0,똑같은 건 없대. 비슷한 거로 샀는데 괜찮아?
100,0,"맞아요, 기본적으론 그래요."
101,0,현존선수 건강하고 하시는 일 잘 되길 바랍니다. 야구는 하지 마세요.
102,0,하늘이 흐리 네
103,0,엄마 블루 서던 ... 그거 빨지 않았어?
