,sentence,label
0,정성룡 욕하지 마라!,2
1,크크크 이 참에 변기 청소 싹 해라,0
2,요리하시는 모습 짱 이십니다,1
3,요리하시는 모습 짱 이십니다,0
4,알겠습니다. ,3
5, 10년 결산 대상에 응답하라 1988은 진짜 아니다,2
6,내가 차고 싶어서 찬 게 아니잖아!,3
7,백 주부님 딸바보 되시겠네요,1
8,와 나는 아직도 갤노트3 쓰는데 벌써 노트7이 나왔구나! ㄷㄷㄷ,3
9,어른들이 어린 학생보다 못한 걸 반성해라,2
10, 이게 무슨 소리냐고?,3
11,왜 헤어졌다고 얘기 안 해서. 사람 피곤하게 해.,2
12,아니 부활을 왜 시키는데,3
13,믿고 기다리고 있었지만 떠난다는 생각은 1%로도 안 했다는 말에 더더욱 감동입니다….,1
14,여전히 이쁜 앰버 허드. 호러의 감을 잊어버린 존 카펜터,0
15,얼마 빼돌리려고?,2
16,믿고 기다리고 있었지만 떠난다는 생각은 1%로도 안 했다는 말에 더더욱 감동입니다….,0
17,타이틀처럼 음식이 어렵다는 편견을 조금은 깨게 해주신 백 선생께 감사드립니다…….,1
18,시댁이 오가유항상 응원하고 있네요^^,1
19,시청률 15도 안되는 게 대상 가능성이 있다니….,3
20,의리 한번 죽이네~,0
21,시댁이 오가유항상 응원하고 있네요^^,0
22,휴…. 나는 이거 왜 봤지..,2
23,타이틀처럼 음식이 어렵다는 편견을 조금은 깨게 해주신 백 선생께 감사드립니다…….,0
24,크크크 그래도 그쪽은 자기 생각이라도 말하지 이쪽은 닭이라서 ㅋㅋㅋ,2
25,백 주부님 딸바보 되시겠네요,0
26,수지 언니는 오전 이렇게 이쁘냐고. ㅜㅜㅜ,1
27,"그럼 뭘 먹었길래, 알레르기야?",3
28,미워해야 하는데 잘 헤어졌다고 머리로 아무리 생각하려고 해도? 잘 안되네요,2
29,수지 언니는 오전 이렇게 이쁘냐고. ㅜㅜㅜ,0
30,앞으로도 무한도전에서 더욱더 좋은 모습 재미있는 모습 기대할게요~>ㅁ<,0
31,상년으로만 들고 다녔나 보네.,2
32,앞으로도 무한도전에서 더욱더 좋은 모습 재미있는 모습 기대할게요~>ㅁ<,1
33,"우후루, 그런 말씀을 하실 때가 아니야. 어제, 한 남학생의 사랑 고백을 받은 몸인데?",3
34, 비싼 애는 주변 인맥이 화려해서 파워게임에서 승산이 있다는 건가.,3
35,주말마다 어머님이 집에 들르신다고 하지 않았어요? 이번 주엔 안 오시나?,3
36,"아~ 자전거 코스로 다니는구나~. 나도 주말엔 그리로 자주 다니는데. 그럼 있잖아,  너도 고급 자전거 하나 사는 거 어때?",2
37,의리 한번 죽이네~,1
38,크크크 이 참에 변기 청소 싹 해라,1
39,여전히 이쁜 앰버 허드. 호러의 감을 잊어버린 존 카펜터,1
