,sentence,label
0,주변에는 쉽게 말하는데 지금 공부 2주째인데 불확실성이 커지네요. ㅜㅜ,2
1,나 대신 누가 욕 좀 해줘….,3
2,영화를 감상하는 것이 내 마음의 재난이다.,3
3,엥? 사실상 모리뉴 떠나고 베일 왔는데 기자 먼 게 소리야,3
4,난 아직도 내가 무엇을 원하고 내가 뭘 해야 해 는 지 모르겠다.,5
5,안 쓰는 사람이 없네........ 저 먼지가 곧……. ㅜ,3
6,맘에 안 드는 여성과 교제를 했는데요….,4
7,"답 없네, 뭐 하는 건지….",3
8,우리나라도 중국인 못 들어오게 좀 막아줬으면….,3
9,21개월 딸내미가 오늘 발톱이 빠졌어요,4
10,왜 박근혜는 최순실한테 홀려있을까?,2
11,"어미, 아비가 거기를 놀러 갔다가 돌아오는 길에 사고를 당했어.",2
12,"진영이 작곡한 같은 곳에서, 벚꽃이 지면 진짜 명곡임…….",1
13,"초저가 패키지로 돈 없는 중국인들은 한국에 오고, 좀 있는 사람들은 일본 가서 미친 듯이 쇼핑한다지….",3
14,이 참사를 단순하게 다른 사고하고 동급으로 취급하면서 말하는 사람들도 있다는 것도 소름 돋는다,4
15, 살아가는 게 너무 힘들어요.,2
16,박해진은 악플러 고소보다 그동안 문제시됐던 문제에 대해 분명히 할 필요가 있다,3
17,이년은 끝이 어딜까요?,3
18,여기 뭐 하는 거예요?,3
19,20년 낸 내 연금……. 책임질 놈은 누구냐~?!,3
20,ㅠㅠㅠ. 한참기다렸어준영아. ㅠㅠㅠ. 보고 싶었어싶었어 어서와ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,1
21, 저 말에 의미 두면 안 되겠죠…?,5
22,"대포폰으로 재벌총수에게 전화해서 보이스피싱도 하시고,",4
23,아뇨. 이제 나가려고….,3
24,전 그때 회사 당직이어서 못 가는 상황이에요….,2
25,그래.,3
26,앞뒤가 안 맞아,3
27,치한으로ㅋ. ㅋ,5
28,그래... 그래서. 나 연수원 그만두면 헤어진다고?,3
29,거기다 놔둬요.,4
30,참석 안 해서 안 줄줄 알았는데 역시 청룡,1
31,동호이야 연기하지 마라 감독액 빨고 동호 캐스팅? 일본 홀리랜드 주연 한 번만 보고 와봐 동호야 네가 한 거랑 모니터링 좀 해봐 어떤지 얼굴 이 후끈후끈할 거야,3
32, 배에 유난히 많이 붙은 듯..... ㅠㅠ,2
33, 레스터가 3점이나 다 주고 웬일이래?,4
34, 쉬우면서도 여러 가지 하나하나 도전해보렵니다.,1
35,시장하실 텐데….,4
36,이사장님이시죠. 오늘 공동 감독을 맡게 됐네요.,1
37,그래요. 그래야죠….,4
38,선생님…. 이걸 언제다….,2
39,와.. 어떻게 저리 생기지,4
40,시대에 뒤떨어졌다고 해야 하나 감각이 너무 구리다.,3
41,엔씨 팬인데 진짜 감사합니다. 흐흐,1
42,어렵게 만든 다음 친일ㆍ종일을 대통령으로 내보내서 좋아지게 만들겠지……. 뒤통수 전문들의 수법….,3
43,그리고…. 이번에 우리 회사랑 회장님 회사랑 작은 계약이 하나 있는 거 같던데 그것도 좀 잘 봐주십사하고….,4
44,촛불집회 서울 50만 명 돌파….,4
45,자니…?,2
46,연기력이 늘질 않아~~,2
47,그네 년은 싫지만 그래도 저건 좀 아닐까 믿을지 말지 겁나네요…….,5
48, 아직 마음이 아프네요,2
49,참나….,3
50,안녕하세요~,4
